Sector of Institution,Reporting Location,Offense,Date,Count
"Private nonprofit, 4-year or above",Non-Campus,Hate Crime - Arson,sum2015,0
"Private for-profit, 4-year or above",Non-Campus,Hate Crime - Arson,sum2015,0
"Public, 2-year",Non-Campus,Hate Crime - Arson,sum2015,0
"Private nonprofit, 2-year",Non-Campus,Hate Crime - Arson,sum2015,0
"Private for-profit, 2-year",Non-Campus,Hate Crime - Arson,sum2015,0
"Public, less-than 2-year",Non-Campus,Hate Crime - Arson,sum2015,0
"Private nonprofit, less-than 2-year",Non-Campus,Hate Crime - Arson,sum2015,0
"Private for-profit, less-than 2-year",Non-Campus,Hate Crime - Arson,sum2015,0
"Public, 4-year or above",Public Property,Hate Crime - Arson,sum2013,0
"Private nonprofit, 4-year or above",Public Property,Hate Crime - Arson,sum2013,0
"Private for-profit, 4-year or above",Public Property,Hate Crime - Arson,sum2013,0
"Public, 2-year",Public Property,Hate Crime - Arson,sum2013,0
"Private nonprofit, 2-year",Public Property,Hate Crime - Arson,sum2013,0
"Private for-profit, 2-year",Public Property,Hate Crime - Arson,sum2013,0
"Public, less-than 2-year",Public Property,Hate Crime - Arson,sum2013,0
"Private nonprofit, less-than 2-year",Public Property,Hate Crime - Arson,sum2013,0
"Private for-profit, less-than 2-year",Public Property,Hate Crime - Arson,sum2013,0
"Public, 4-year or above",Public Property,Hate Crime - Arson,sum2014,0
"Private nonprofit, 4-year or above",Public Property,Hate Crime - Arson,sum2014,0
"Private for-profit, 4-year or above",Public Property,Hate Crime - Arson,sum2014,0
"Public, 2-year",Public Property,Hate Crime - Arson,sum2014,0
"Private nonprofit, 2-year",Public Property,Hate Crime - Arson,sum2014,0
"Private for-profit, 2-year",Public Property,Hate Crime - Arson,sum2014,0
"Public, less-than 2-year",Public Property,Hate Crime - Arson,sum2014,0
"Private nonprofit, less-than 2-year",Public Property,Hate Crime - Arson,sum2014,0
"Private for-profit, less-than 2-year",Public Property,Hate Crime - Arson,sum2014,0
"Public, 4-year or above",Public Property,Hate Crime - Arson,sum2015,0
"Private nonprofit, 4-year or above",Public Property,Hate Crime - Arson,sum2015,0
"Private for-profit, 4-year or above",Public Property,Hate Crime - Arson,sum2015,0
"Public, 2-year",Public Property,Hate Crime - Arson,sum2015,0
"Private nonprofit, 2-year",Public Property,Hate Crime - Arson,sum2015,0
"Private for-profit, 2-year",Public Property,Hate Crime - Arson,sum2015,0
"Public, less-than 2-year",Public Property,Hate Crime - Arson,sum2015,0
"Private nonprofit, less-than 2-year",Public Property,Hate Crime - Arson,sum2015,0
"Private for-profit, less-than 2-year",Public Property,Hate Crime - Arson,sum2015,1
"Public, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - BODYINJ,sum2013,25
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - BODYINJ,sum2013,27
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - BODYINJ,sum2013,3
"Public, 2-year",On Campus (excluding Residence Halls),Hate Crime - BODYINJ,sum2013,6
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Hate Crime - BODYINJ,sum2013,0
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Hate Crime - BODYINJ,sum2013,0
"Public, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - BODYINJ,sum2013,0
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - BODYINJ,sum2013,0
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - BODYINJ,sum2013,0
"Public, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - BODYINJ,sum2014,20
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - BODYINJ,sum2014,11
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - BODYINJ,sum2014,2
"Public, 2-year",On Campus (excluding Residence Halls),Hate Crime - BODYINJ,sum2014,12
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Hate Crime - BODYINJ,sum2014,0
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Hate Crime - BODYINJ,sum2014,2
"Public, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - BODYINJ,sum2014,3
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - BODYINJ,sum2014,0
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - BODYINJ,sum2014,0
"Public, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - BODYINJ,sum2015,22
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - BODYINJ,sum2015,26
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - BODYINJ,sum2015,0
"Public, 2-year",On Campus (excluding Residence Halls),Hate Crime - BODYINJ,sum2015,11
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Hate Crime - BODYINJ,sum2015,0
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Hate Crime - BODYINJ,sum2015,1
"Public, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - BODYINJ,sum2015,5
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - BODYINJ,sum2015,0
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - BODYINJ,sum2015,1
"Public, 4-year or above",On Campus (Residence Halls),Hate Crime - BODYINJ,sum2013,17
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Hate Crime - BODYINJ,sum2013,16
"Private for-profit, 4-year or above",On Campus (Residence Halls),Hate Crime - BODYINJ,sum2013,2
"Public, 2-year",On Campus (Residence Halls),Hate Crime - BODYINJ,sum2013,2
"Private nonprofit, 2-year",On Campus (Residence Halls),Hate Crime - BODYINJ,sum2013,0
"Private for-profit, 2-year",On Campus (Residence Halls),Hate Crime - BODYINJ,sum2013,0
"Public, less-than 2-year",On Campus (Residence Halls),Hate Crime - BODYINJ,sum2013,0
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Hate Crime - BODYINJ,sum2013,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Hate Crime - BODYINJ,sum2013,0
"Public, 4-year or above",On Campus (Residence Halls),Hate Crime - BODYINJ,sum2014,4
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Hate Crime - BODYINJ,sum2014,14
"Private for-profit, 4-year or above",On Campus (Residence Halls),Hate Crime - BODYINJ,sum2014,0
"Public, 2-year",On Campus (Residence Halls),Hate Crime - BODYINJ,sum2014,0
"Private nonprofit, 2-year",On Campus (Residence Halls),Hate Crime - BODYINJ,sum2014,0
"Private for-profit, 2-year",On Campus (Residence Halls),Hate Crime - BODYINJ,sum2014,0
"Public, less-than 2-year",On Campus (Residence Halls),Hate Crime - BODYINJ,sum2014,0
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Hate Crime - BODYINJ,sum2014,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Hate Crime - BODYINJ,sum2014,0
"Public, 4-year or above",On Campus (Residence Halls),Hate Crime - BODYINJ,sum2015,4
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Hate Crime - BODYINJ,sum2015,14
"Private for-profit, 4-year or above",On Campus (Residence Halls),Hate Crime - BODYINJ,sum2015,0
"Public, 2-year",On Campus (Residence Halls),Hate Crime - BODYINJ,sum2015,1
"Private nonprofit, 2-year",On Campus (Residence Halls),Hate Crime - BODYINJ,sum2015,0
"Private for-profit, 2-year",On Campus (Residence Halls),Hate Crime - BODYINJ,sum2015,0
"Public, less-than 2-year",On Campus (Residence Halls),Hate Crime - BODYINJ,sum2015,0
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Hate Crime - BODYINJ,sum2015,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Hate Crime - BODYINJ,sum2015,0
"Public, 4-year or above",Non-Campus,Hate Crime - BODYINJ,sum2013,5
"Private nonprofit, 4-year or above",Non-Campus,Hate Crime - BODYINJ,sum2013,3
"Private for-profit, 4-year or above",Non-Campus,Hate Crime - BODYINJ,sum2013,0
"Public, 2-year",Non-Campus,Hate Crime - BODYINJ,sum2013,1
"Private nonprofit, 2-year",Non-Campus,Hate Crime - BODYINJ,sum2013,0
"Private for-profit, 2-year",Non-Campus,Hate Crime - BODYINJ,sum2013,0
"Public, less-than 2-year",Non-Campus,Hate Crime - BODYINJ,sum2013,0
"Private nonprofit, less-than 2-year",Non-Campus,Hate Crime - BODYINJ,sum2013,0
"Private for-profit, less-than 2-year",Non-Campus,Hate Crime - BODYINJ,sum2013,4
"Public, 4-year or above",Non-Campus,Hate Crime - BODYINJ,sum2014,1
"Private nonprofit, 4-year or above",Non-Campus,Hate Crime - BODYINJ,sum2014,2
"Private for-profit, 4-year or above",Non-Campus,Hate Crime - BODYINJ,sum2014,0
"Public, 2-year",Non-Campus,Hate Crime - BODYINJ,sum2014,1
"Private nonprofit, 2-year",Non-Campus,Hate Crime - BODYINJ,sum2014,0
"Private for-profit, 2-year",Non-Campus,Hate Crime - BODYINJ,sum2014,0
"Public, less-than 2-year",Non-Campus,Hate Crime - BODYINJ,sum2014,0
"Private nonprofit, less-than 2-year",Non-Campus,Hate Crime - BODYINJ,sum2014,0
"Private for-profit, less-than 2-year",Non-Campus,Hate Crime - BODYINJ,sum2014,0
"Public, 4-year or above",Non-Campus,Hate Crime - BODYINJ,sum2015,3
"Private nonprofit, 4-year or above",Non-Campus,Hate Crime - BODYINJ,sum2015,4
"Private for-profit, 4-year or above",Non-Campus,Hate Crime - BODYINJ,sum2015,0
"Public, 2-year",Non-Campus,Hate Crime - BODYINJ,sum2015,1
"Private nonprofit, 2-year",Non-Campus,Hate Crime - BODYINJ,sum2015,0
"Private for-profit, 2-year",Non-Campus,Hate Crime - BODYINJ,sum2015,0
"Public, less-than 2-year",Non-Campus,Hate Crime - BODYINJ,sum2015,0
"Private nonprofit, less-than 2-year",Non-Campus,Hate Crime - BODYINJ,sum2015,0
"Private for-profit, less-than 2-year",Non-Campus,Hate Crime - BODYINJ,sum2015,0
"Public, 4-year or above",Public Property,Hate Crime - BODYINJ,sum2013,7
"Private nonprofit, 4-year or above",Public Property,Hate Crime - BODYINJ,sum2013,10
"Private for-profit, 4-year or above",Public Property,Hate Crime - BODYINJ,sum2013,0
"Public, 2-year",Public Property,Hate Crime - BODYINJ,sum2013,1
"Private nonprofit, 2-year",Public Property,Hate Crime - BODYINJ,sum2013,1
"Private for-profit, 2-year",Public Property,Hate Crime - BODYINJ,sum2013,0
"Public, less-than 2-year",Public Property,Hate Crime - BODYINJ,sum2013,0
"Private nonprofit, less-than 2-year",Public Property,Hate Crime - BODYINJ,sum2013,0
"Private for-profit, less-than 2-year",Public Property,Hate Crime - BODYINJ,sum2013,5
"Public, 4-year or above",Public Property,Hate Crime - BODYINJ,sum2014,5
"Private nonprofit, 4-year or above",Public Property,Hate Crime - BODYINJ,sum2014,9
"Private for-profit, 4-year or above",Public Property,Hate Crime - BODYINJ,sum2014,1
"Public, 2-year",Public Property,Hate Crime - BODYINJ,sum2014,2
"Private nonprofit, 2-year",Public Property,Hate Crime - BODYINJ,sum2014,0
"Private for-profit, 2-year",Public Property,Hate Crime - BODYINJ,sum2014,1
"Public, less-than 2-year",Public Property,Hate Crime - BODYINJ,sum2014,0
"Private nonprofit, less-than 2-year",Public Property,Hate Crime - BODYINJ,sum2014,1
"Private for-profit, less-than 2-year",Public Property,Hate Crime - BODYINJ,sum2014,1
"Public, 4-year or above",Public Property,Hate Crime - BODYINJ,sum2015,8
"Private nonprofit, 4-year or above",Public Property,Hate Crime - BODYINJ,sum2015,6
"Private for-profit, 4-year or above",Public Property,Hate Crime - BODYINJ,sum2015,0
"Public, 2-year",Public Property,Hate Crime - BODYINJ,sum2015,1
"Private nonprofit, 2-year",Public Property,Hate Crime - BODYINJ,sum2015,0
"Private for-profit, 2-year",Public Property,Hate Crime - BODYINJ,sum2015,3
"Public, less-than 2-year",Public Property,Hate Crime - BODYINJ,sum2015,0
"Private nonprofit, less-than 2-year",Public Property,Hate Crime - BODYINJ,sum2015,0
"Private for-profit, less-than 2-year",Public Property,Hate Crime - BODYINJ,sum2015,7
"Public, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Larceny,sum2013,1
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Larceny,sum2013,3
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Larceny,sum2013,0
"Public, 2-year",On Campus (excluding Residence Halls),Hate Crime - Larceny,sum2013,3
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Hate Crime - Larceny,sum2013,0
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Hate Crime - Larceny,sum2013,4
"Public, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Larceny,sum2013,0
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Larceny,sum2013,0
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Larceny,sum2013,1
"Public, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Larceny,sum2014,2
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Larceny,sum2014,2
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Larceny,sum2014,3
"Public, 2-year",On Campus (excluding Residence Halls),Hate Crime - Larceny,sum2014,5
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Hate Crime - Larceny,sum2014,1
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Hate Crime - Larceny,sum2014,4
"Public, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Larceny,sum2014,0
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Larceny,sum2014,0
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Larceny,sum2014,5
"Public, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Larceny,sum2015,2
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Larceny,sum2015,20
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Hate Crime - Larceny,sum2015,0
"Public, 2-year",On Campus (excluding Residence Halls),Hate Crime - Larceny,sum2015,0
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Hate Crime - Larceny,sum2015,0
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Hate Crime - Larceny,sum2015,0
"Public, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Larceny,sum2015,4
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Larceny,sum2015,0
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Hate Crime - Larceny,sum2015,6
"Public, 4-year or above",On Campus (Residence Halls),Hate Crime - Larceny,sum2013,0
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Hate Crime - Larceny,sum2013,3
"Private for-profit, 4-year or above",On Campus (Residence Halls),Hate Crime - Larceny,sum2013,1
"Public, 2-year",On Campus (Residence Halls),Hate Crime - Larceny,sum2013,0
"Private nonprofit, 2-year",On Campus (Residence Halls),Hate Crime - Larceny,sum2013,0
"Private for-profit, 2-year",On Campus (Residence Halls),Hate Crime - Larceny,sum2013,0
"Public, less-than 2-year",On Campus (Residence Halls),Hate Crime - Larceny,sum2013,0
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Hate Crime - Larceny,sum2013,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Hate Crime - Larceny,sum2013,0
"Public, 4-year or above",On Campus (Residence Halls),Hate Crime - Larceny,sum2014,0
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Hate Crime - Larceny,sum2014,2
"Private for-profit, 4-year or above",On Campus (Residence Halls),Hate Crime - Larceny,sum2014,0
"Public, 2-year",On Campus (Residence Halls),Hate Crime - Larceny,sum2014,0
"Private nonprofit, 2-year",On Campus (Residence Halls),Hate Crime - Larceny,sum2014,0
"Private for-profit, 2-year",On Campus (Residence Halls),Hate Crime - Larceny,sum2014,0
"Public, less-than 2-year",On Campus (Residence Halls),Hate Crime - Larceny,sum2014,0
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Hate Crime - Larceny,sum2014,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Hate Crime - Larceny,sum2014,0
"Public, 4-year or above",On Campus (Residence Halls),Hate Crime - Larceny,sum2015,1
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Hate Crime - Larceny,sum2015,1
"Private for-profit, 4-year or above",On Campus (Residence Halls),Hate Crime - Larceny,sum2015,0
"Public, 2-year",On Campus (Residence Halls),Hate Crime - Larceny,sum2015,1
"Private nonprofit, 2-year",On Campus (Residence Halls),Hate Crime - Larceny,sum2015,0
"Private for-profit, 2-year",On Campus (Residence Halls),Hate Crime - Larceny,sum2015,0
"Public, less-than 2-year",On Campus (Residence Halls),Hate Crime - Larceny,sum2015,0
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Hate Crime - Larceny,sum2015,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Hate Crime - Larceny,sum2015,0
